,id,name,user_id,circle_id
0,1,Dhaka*(East),\N,2
1,2,Dhaka*(South),\N,2
2,3,Dhaka*(North),\N,1
3,4,Dhaka*(Central),\N,2
4,5,*Dhaka(North-West),\N,1
5,6,*Aricha,\N,1
6,7,Mymensingh,\N,1
7,8,Srimongol,\N,6
8,9,*Cumilla,\N,6
9,10,Chattogram*(South),\N,5
10,11,Chattogram*(North),\N,5
11,12,Chattogram*(Central),\N,5
12,13,*Khulna*(S),\N,3
13,14,*Khulna*(N),\N,3
14,15,*Jhenaidah,\N,7
15,16,Faridpur,\N,3
16,17,Barisal,\N,3
17,18,Rajshahi,\N,4
18,19,Bogura,\N,4
19,20,Rangpur,\N,4
20,21,Dinajpur,\N,4
21,22,Kaliakoir,\N,1
22,23,Narsingdi,\N,2
23,24,Sylhet,\N,6
24,25,Ishurdi,\N,7
25,26,HVDC,\N,7
